gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dvt,ebit,lct,lt,ni,sale,seq,costat,prcc_c
005073,20211231,2021,INDL,C,D,STD,GM,USD,82103.0000,244718.0000,59744.0000,1500.0000,0.0000,12582.0000,74408.0000,178903.0000,10019.0000,127004.0000,59744.0000,A,58.6300
005087,20211231,2021,INDL,C,D,STD,SPXC,USD,903.4000,2628.6000,1102.9000,45.4680,0.0000,103.2000,439.5000,1525.7000,425.4000,1219.5000,1102.9000,A,59.6800
005109,20210131,2020,INDL,C,D,STD,GCO,USD,667.5950,1587.3680,565.7500,14.9500,0.0000,-15.5420,402.9330,1020.6090,-56.4290,1786.5300,566.7590,A,30.0900
005116,20211231,2021,INDL,C,D,STD,GNTX,USD,872.9760,2131.3910,1937.9880,236.4410,114.4150,410.1570,181.6560,,360.7970,1731.1700,1937.9880,A,34.8500
005125,20211231,2021,INDL,C,D,STD,GPC,USD,7756.4220,14352.1020,3490.7420,142.1810,467.4820,1305.0590,6581.5830,10848.8120,898.7900,18870.5100,3490.7420,A,140.2000
005149,20211231,2021,INDL,C,D,STD,GTY,USD,,1466.9480,745.1080,46.7160,72.9850,71.0290,,721.8400,62.8600,155.8980,745.1080,A,32.0900
005179,20211231,2021,INDL,C,D,STD,GLT,USD,636.5660,1880.6070,542.7620,44.5490,24.7020,28.1450,371.1700,1337.8450,6.9370,1084.6940,542.7620,A,17.2000
005234,20211231,2021,INDL,C,D,STD,GT,USD,7331.0000,21402.0000,4999.0000,281.7930,13.0000,1173.0000,6612.0000,16218.0000,764.0000,17522.0000,4999.0000,A,21.3200
005237,20211231,2021,INDL,C,D,STD,GRC,USD,277.1820,420.7540,329.9760,26.1040,16.5860,39.3560,52.4400,90.7780,29.8510,378.3160,329.9760,A,44.5500
005252,20211231,2021,INDL,C,D,STD,GGG,USD,1363.6210,2443.1980,1709.3430,170.3070,131.2450,531.3230,506.7920,733.8550,439.8660,1987.6080,1709.3430,A,80.6200
005256,20211231,2021,INDL,C,D,STD,GWW,USD,4011.0000,6592.0000,1874.0000,51.2200,334.0000,1547.0000,1528.0000,4432.0000,1043.0000,13022.0000,1874.0000,A,518.2400
005342,20211231,2021,INDL,C,D,STD,MGI,USD,,4476.5000,-185.0000,90.7260,0.0000,83.1000,,4661.5000,-37.9000,1283.6000,-185.0000,A,7.8900
005439,20211231,2021,INDL,C,D,STD,HAL,USD,9943.0000,22321.0000,6713.0000,896.0000,161.0000,1812.0000,4306.0000,15593.0000,1457.0000,15295.0000,6713.0000,A,22.8700
005496,20211231,2021,INDL,C,D,STD,HSC,USD,874.9730,3053.9080,748.1600,79.2160,0.0000,84.6540,601.3910,2248.1380,-3.2490,1848.3990,748.1600,A,16.7100
005518,20211231,2021,INDL,C,D,STD,HAS,USD,3728.1000,10037.8000,3025.9000,138.2210,375.1000,910.2000,2455.9000,6950.8000,428.7000,6420.4000,3025.9000,A,101.7800
005520,20211231,2021,INDL,C,D,STD,AMOT,USD,175.9570,470.7850,187.7620,15.3610,1.4020,27.0730,78.3700,283.0230,24.0940,403.5160,187.7620,A,36.4900
005526,20211231,2021,INDL,C,D,STD,HE,USD,,15822.6370,2390.8840,109.3120,150.5330,386.0660,,13397.4600,248.0560,2850.3790,2425.1770,A,41.5000
005530,20210331,2020,INDL,C,D,STD,HWKN,USD,163.0070,472.5500,265.2460,20.9700,10.0290,56.4400,70.4620,207.3040,40.9800,596.8710,265.2460,A,52.3100
005539,20211231,2021,INDL,C,D,STD,HCSG,USD,546.3820,777.5290,452.6770,73.7690,62.7990,57.3690,191.1250,324.8520,45.8630,1641.9590,452.6770,A,17.7900
005559,20211231,2021,INDL,C,D,STD,STRL,USD,434.6910,1230.9960,358.7670,29.8380,0.0000,124.7870,351.7600,815.6540,62.6450,1581.7660,358.7670,A,26.3000
005560,20211231,2021,INDL,C,D,STD,HL,USD,341.6270,2728.8080,1760.7480,538.1390,,97.7470,160.3830,968.0210,35.0950,807.4730,1760.7870,A,5.2200
005568,20211231,2021,INDL,C,D,STD,KHC,USD,8994.0000,93394.0000,49298.0000,1224.0000,1979.0000,5246.0000,9064.0000,43942.0000,1012.0000,26042.0000,49298.0000,A,35.9000
005572,20210228,2020,INDL,C,D,STD,HELE,USD,971.9370,2263.4880,1239.3470,24.4060,0.0000,290.2900,614.8920,1024.1410,253.9460,2098.7990,1239.3470,A,222.1900
005581,20210930,2021,INDL,C,D,STD,HP,USD,1586.5660,5034.1280,2912.6180,107.8990,109.2360,-350.1810,866.3060,2121.5100,-326.1500,1218.5680,2912.6180,A,23.7000
